[INFO ] 2018-03-01 19:37:20.273 [JavaFX Application Thread] Player - 1s hand changed - added Amour
[INFO ] 2018-03-01 19:37:20.273 [JavaFX Application Thread] Player - 1s hand changed - added QueenIseult
[INFO ] 2018-03-01 19:37:20.273 [JavaFX Application Thread] Player - 1s hand changed - added RobberKnight
[INFO ] 2018-03-01 19:37:20.273 [JavaFX Application Thread] Player - 1s hand changed - added Horse
[INFO ] 2018-03-01 19:37:20.273 [JavaFX Application Thread] Player - 1s hand changed - added BattleAx
[INFO ] 2018-03-01 19:37:20.273 [JavaFX Application Thread] Player - 1s hand changed - added Lance
[INFO ] 2018-03-01 19:37:20.273 [JavaFX Application Thread] Player - 2s hand changed - added Sword
[INFO ] 2018-03-01 19:37:20.273 [JavaFX Application Thread] Player - 2s hand changed - added Sword
[INFO ] 2018-03-01 19:37:20.274 [JavaFX Application Thread] Player - 2s hand changed - added Horse
[INFO ] 2018-03-01 19:37:20.274 [JavaFX Application Thread] Player - 2s hand changed - added Thieves
[INFO ] 2018-03-01 19:37:20.274 [JavaFX Application Thread] Player - 2s hand changed - added Boar
[INFO ] 2018-03-01 19:37:20.274 [JavaFX Application Thread] Player - 2s hand changed - added Mordred
[INFO ] 2018-03-01 19:37:20.274 [JavaFX Application Thread] Player - 2s hand changed - added Amour
[INFO ] 2018-03-01 19:37:20.274 [JavaFX Application Thread] Player - 2s hand changed - added RobberKnight
[INFO ] 2018-03-01 19:37:20.274 [JavaFX Application Thread] Player - 2s hand changed - added Horse
[INFO ] 2018-03-01 19:37:20.274 [JavaFX Application Thread] Player - 2s hand changed - added BattleAx
[INFO ] 2018-03-01 19:37:20.274 [JavaFX Application Thread] Player - 2s hand changed - added Lance
[INFO ] 2018-03-01 19:37:20.274 [JavaFX Application Thread] Player - 2s hand changed - added Excalibur
[INFO ] 2018-03-01 19:37:20.275 [JavaFX Application Thread] Player - 3s hand changed - added Sword
[INFO ] 2018-03-01 19:37:20.275 [JavaFX Application Thread] Player - 3s hand changed - added Sword
[INFO ] 2018-03-01 19:37:20.275 [JavaFX Application Thread] Player - 3s hand changed - added Horse
[INFO ] 2018-03-01 19:37:20.275 [JavaFX Application Thread] Player - 3s hand changed - added Thieves
[INFO ] 2018-03-01 19:37:20.275 [JavaFX Application Thread] Player - 3s hand changed - added Boar
[INFO ] 2018-03-01 19:37:20.275 [JavaFX Application Thread] Player - 3s hand changed - added EvilKnight
[INFO ] 2018-03-01 19:37:20.275 [JavaFX Application Thread] Player - 3s hand changed - added Amour
[INFO ] 2018-03-01 19:37:20.275 [JavaFX Application Thread] Player - 3s hand changed - added RobberKnight
[INFO ] 2018-03-01 19:37:20.275 [JavaFX Application Thread] Player - 3s hand changed - added Horse
[INFO ] 2018-03-01 19:37:20.275 [JavaFX Application Thread] Player - 3s hand changed - added BattleAx
[INFO ] 2018-03-01 19:37:20.276 [JavaFX Application Thread] Player - 3s hand changed - added Lance
